iterm,facet,domain,subject,lword
planned value,concept,Cost Management,financial and cost management,planned value
portfolio management,phenomenon_process,Cost Management,financial management,portfolio management
preliminaries,concept,Cost Management,financial and cost management,preliminaries
prevention,concept,Cost Management,financial risk,prevention
project budgeting,phenomenon_process,Cost Management,cost planning,project budgeting
project cost,concept,Cost Management,economics,project cost
project finance,concept,Cost Management,financial management,project finance
project risk analysis,phenomenon_process,Cost Management,financial risk,project risk analysis
project risk management,concept,Cost Management,financial risk,project risk management
public listed companies,phenomenon_object,Cost Management,financial management,public listed companies
ratio analysis,analytical_technique,Cost Management,financial analysis,ratio analysis
real estate development finance,concept,Cost Management,financial management,real estate development finance
resource dependency theory,theoretical_framing,Cost Management,financial analysis,resource dependency theory
retrenchment,phenomenon_process,Cost Management,financial and cost management,retrenchment
risk allocation,phenomenon_process,Cost Management,financial risk,risk allocation
risk apportionment,phenomenon_process,Cost Management,financial risk,risk apportionment
risk assessment,phenomenon_process,Cost Management,financial risk,risk assessment
risk balancing,phenomenon_process,Cost Management,financial risk,risk balancing
risk breakdown structure,concept,Cost Management,financial risk,risk breakdown structure
risk costing,phenomenon_process,Cost Management,financial risk,risk costing
risk culture,concept,Cost Management,financial risk,risk culture
risk governance,concept,Cost Management,financial risk,risk governance
risk identification,phenomenon_process,Cost Management,financial risk,risk identification
risk management tool,phenomenon_object,Cost Management,financial risk,risk management tool
risk mitigation,phenomenon_process,Cost Management,financial risk,risk mitigation
risk ownership,concept,Cost Management,financial risk,risk ownership
risk prioritization,phenomenon_process,Cost Management,financial risk,risk prioritization
risk reduction,phenomenon_process,Cost Management,financial risk,risk reduction
risk register,phenomenon_object,Cost Management,financial risk,risk register
risk relationship,concept,Cost Management,financial risk,risk relationship
risk response,concept,Cost Management,financial risk,risk response
risk response strategy,phenomenon_process,Cost Management,financial risk,risk response strategy
risk retention,concept,Cost Management,financial risk,risk retention
risk-informed,concept,Cost Management,financial risk,risk-informed
running cost,concept,Cost Management,financial and cost management,running cost
safety and environment risk,concept,Cost Management,financial risk,safety and environment risk
safety factor,concept,Cost Management,financial risk,safety factor
safety issue,concept,Cost Management,financial risk,safety issue
schedule of rate,phenomenon_object,Cost Management,financial and cost management,schedule of rate
s-curve,phenomenon_object,Cost Management,economics,s-curve
seismic risk,concept,Cost Management,financial risk,seismic risk
shareholder's wealth,concept,Cost Management,financial management,shareholder's wealth
social benefit-cost ratio,analytical_technique,Cost Management,financial analysis,social benefit-cost ratio
socio-economic benefit,concept,Cost Management,financial analysis,socio-economic benefit
special purpose entity,concept,Cost Management,financial and cost management,special purpose entity
special purpose vehicle,concept,Cost Management,financial and cost management,special purpose vehicle
stacked value stream,concept,Cost Management,financial analysis,stacked value stream
standard method of measurement,concept,Cost Management,financial and cost management,standard method of measurement
stochastic life cycle cost analysis,analytical_technique,Cost Management,financial analysis,stochastic life cycle cost analysis
strategic investment,concept,Cost Management,financial and cost management,strategic investment
take-off,concept,Cost Management,quantity surveying,take-off
target cost,concept,Cost Management,economics,target cost
target costing,phenomenon_process,Cost Management,economics,target costing
target value design,concept,Cost Management,value management,target value design
tender price forecasting,phenomenon_process,Cost Management,financial and cost management,tender price forecasting
total annual cost,concept,Cost Management,financial and cost management,total annual cost
transaction cost,theoretical_framing,Cost Management,financial analysis,transaction cost
unit cost,concept,Cost Management,financial and cost management,unit cost
unit rate,phenomenon_object,Cost Management,financial and cost management,unit rate
unsafe behaviour,concept,Cost Management,financial risk,unsafe behaviour
value analysis,analytical_technique,Cost Management,financial analysis,value analysis
value engineering,concept,Cost Management,value management,value engineering
value extraction,concept,Cost Management,financial and cost management,value extraction
value for money,concept,Cost Management,financial analysis,value for money
value generation,concept,Cost Management,financial and cost management,value generation
value-in-use,concept,Cost Management,financial and cost management,value-in-use
whole life cost,concept,Cost Management,financial analysis,whole life cost
access audit,phenomenon_process,Design Practice,design practice,access audit
accessibility,phenomenon_process,Design Practice,inclusive design,accessibility
acoustic engineering,phenomenon_process,Design Practice,engineering design,acoustic engineering
active design,concept,Design Practice,user focus,active design
activity recognition,phenomenon_process,Design Practice,modelling and simulation,activity recognition
adaptability,concept,Design Practice,user focus,adaptability
adaptable building,concept,Design Practice,user focus,adaptable building
adaptable housing,concept,Design Practice,user focus,adaptable housing
adaptation,concept,Design Practice,user focus,adaptation
adaptive reuse,concept,Design Practice,factor and component analysis,adaptive reuse
aerodynamic,concept,Design Practice,factor and component analysis,aerodynamic
aesthetic,concept,Design Practice,factor and component analysis,aesthetic
affordance,concept,Design Practice,behavioral psychology,affordance
age-friendly city,concept,Design Practice,urban design,age-friendly city
age-friendly criteria,concept,Design Practice,urban design,age-friendly criteria
agricultural land,concept,Design Practice,urban design,agricultural land
airfield pavement damage,phenomenon_object,Design Practice,quality of life and wellbeing,airfield pavement damage
alternative technology,concept,Design Practice,factor and component analysis,alternative technology
ambience,concept,Design Practice,factor and component analysis,ambience
anthropometry,concept,Design Practice,factor and component analysis,anthropometry
antimicrobial agent,concept,Design Practice,factor and component analysis,antimicrobial agent
architectural design,phenomenon_process,Design Practice,design practice,architectural design
architectural engineering,phenomenon_process,Design Practice,design practice,architectural engineering
architectural management,phenomenon_process,Design Practice,practice management,architectural management
architectural programme,concept,Design Practice,design practice,architectural programme
architectural service,concept,Design Practice,practice management,architectural service
architectural technology,concept,Design Practice,design practice,architectural technology
architectural theory,theoretical_framing,Design Practice,architectural theory,architectural theory
architectural visualization,concept,Design Practice,design practice,architectural visualization
as-built drawing,phenomenon_object,Design Practice,technical documentation,as-built drawing
as-built model,phenomenon_object,Design Practice,technical documentation,as-built model
bedroom,concept,Design Practice,architectural elements,bedroom
beeline diagramming method,phenomenon_process,Design Practice,interdepence modelling,beeline diagramming method
bioclimatic design,concept,Design Practice,sustainability and energy,bioclimatic design
biologically inspired design,concept,Design Practice,design theory,biologically inspired design
biomimetic,concept,Design Practice,design theory,biomimetic
biomimetic,concept,Design Practice,design theory,biomimicry
biophilic,concept,Design Practice,design incorporating nature,biophilic
buildability,concept,Design Practice,design efficiency,buildability
building adaptability,concept,Design Practice,building performance,building adaptability
building component,phenomenon_object,Design Practice,architectural elements,building component
building deconstruction planning,phenomenon_process,Design Practice,sustainability and energy,building deconstruction planning
building defect,phenomenon_object,Design Practice,professional practice,building defect
building design,phenomenon_process,Design Practice,architectural design,building design
building design management,phenomenon_process,Design Practice,design process,building design management
building envelope,concept,Design Practice,architectural elements,building envelope
building façade,phenomenon_object,Design Practice,architectural elements,building façade
building floor,phenomenon_object,Design Practice,architectural elements,building floor
building height,concept,Design Practice,building performance,building height
building interior,phenomenon_process,Design Practice,specialized design,building interior
building material,phenomenon_object,Design Practice,building materials,building material
building morphology,concept,Design Practice,design theory,building morphology
building pathology,concept,Design Practice,professional practice,building pathology
building progression,phenomenon_process,Design Practice,smart buildings,building progression
building specification,phenomenon_process,Design Practice,professional practice,building specification
building survey,phenomenon_process,Design Practice,professional practice,building survey
built heritage,concept,Design Practice,heritage and conservation,built heritage
cellular building product,phenomenon_object,Design Practice,architectural elements,cellular building product
charrette,phenomenon_process,Design Practice,design process,charrette
city planning,phenomenon_process,Design Practice,urban design,city planning
cladding,phenomenon_object,Design Practice,building materials,cladding
clash of building culture,concept,Design Practice,cultural differences,clash of building culture
co-creation,phenomenon_process,Design Practice,design process,co-creation
collaborative design,phenomenon_process,Design Practice,design methods,collaborative design
collaborative space,concept,Design Practice,design practice,collaborative space
commercial building construction,phenomenon_process,Design Practice,building construction,commercial building construction
community building construction,phenomenon_process,Design Practice,building construction,community building construction
compact design,concept,Design Practice,specialized design,compact design
complex fenestration systems daylighting,concept,Design Practice,building systems,complex fenestration systems daylighting
complex geometry,concept,Design Practice,design complexity,complex geometry
concept design,concept,Design Practice,design process,concept design
conceptual design,concept,Design Practice,design practice,conceptual design
constructability,concept,Design Practice,construction integration,constructability
construction cost index,concept,Design Practice,cost indicators,construction cost index
construction history,theoretical_framing,Design Practice,architectural and construction history,construction history
courtyard,phenomenon_object,Design Practice,architectural elements,courtyard
co-working,concept,Design Practice,design practice,co-working
creativity,concept,Design Practice,innovation and creative processes,creativity
cross-laminated timber,phenomenon_object,Design Practice,building materials,cross-laminated timber
cultural building construction,phenomenon_process,Design Practice,building construction,cultural building construction
curtain wall,concept,Design Practice,building systems,curtain wall
curtain wall system,concept,Design Practice,building systems,curtain wall system
cushion,phenomenon_object,Design Practice,building materials,cushion
custom design,phenomenon_process,Design Practice,design process,custom design
daylight factor,concept,Design Practice,building performance,daylight factor
daylighting,concept,Design Practice,building performance,daylighting
deep renovation strategy,phenomenon_process,Design Practice,renovation and retrofit,deep renovation strategy
design ability,concept,Design Practice,design practice,design ability
design aid,concept,Design Practice,design methods,design aid
design analysis,analytical_technique,Design Practice,design analysis,design analysis
design and building,phenomenon_process,Design Practice,design process,design and building
design and development,phenomenon_process,Design Practice,design process,design and development
design brief,phenomenon_process,Design Practice,technical documentation,design brief
design collaboration,concept,Design Practice,design methods,design collaboration
design decision,concept,Design Practice,design practice,design decision
design defect,phenomenon_object,Design Practice,professional practice,design defect
design development,phenomenon_process,Design Practice,design process,design development
design drawing,phenomenon_process,Design Practice,technical documentation,design drawing
design error,phenomenon_object,Design Practice,professional practice,design error
design evaluation,phenomenon_process,Design Practice,design assessment,design evaluation
design evidence source,empirical_technique,Design Practice,research products and data,design evidence source
design factor,concept,Design Practice,design practice,design factor
design for adaptability,phenomenon_process,Design Practice,design process,design for adaptability
design for constructability,phenomenon_process,Design Practice,construction integration,design for constructability
design for maintainability,concept,Design Practice,design practice,design for maintainability
design for maintenance,concept,Design Practice,design methods,design for maintenance
design for x-ability,phenomenon_process,Design Practice,design process,design for x-ability
design framework,concept,Design Practice,design practice,design framework
design management,phenomenon_process,Design Practice,design process,design management
design mapping,phenomenon_process,Design Practice,design methods,design mapping
design method,phenomenon_process,Design Practice,design methods,design method
design model,phenomenon_process,Design Practice,design process,design model
design modification,phenomenon_process,Design Practice,design changes,design modification
design of building,phenomenon_process,Design Practice,building design,design of building
design optimization,phenomenon_process,Design Practice,design process,design optimization
design parameter,concept,Design Practice,design constraints,design parameter
design phase,phenomenon_object,Design Practice,professional practice,design phase
design practice,phenomenon_process,Design Practice,design process,design practice
design principle,concept,Design Practice,design methods,design principle
design process,phenomenon_process,Design Practice,design methods,design process
design quality,phenomenon_process,Design Practice,professional practice,design quality
design quality indicator,phenomenon_process,Design Practice,professional practice,design quality indicator
design science research,theoretical_framing,Design Practice,design practice,design science research
design specification,concept,Design Practice,design practice,design specification
design stage,phenomenon_object,Design Practice,professional practice,design stage
design standard,concept,Design Practice,technical documentation,design standard
design strategy,concept,Design Practice,design methods,design strategy
design structure matrix,concept,Design Practice,design methods,design structure matrix
design studio,concept,Design Practice,design practice,design studio
design support tool,phenomenon_process,Design Practice,design practice,design support tool
design team,phenomenon_object,Design Practice,professional practice,design team
design technique,phenomenon_process,Design Practice,design methods,design technique
design workshop,phenomenon_process,Design Practice,design process,design workshop
designing,phenomenon_process,Design Practice,design process,designing
do-it-yourself,concept,Design Practice,design practice,do-it-yourself
draft design,concept,Design Practice,design process,draft design
drafting,phenomenon_process,Design Practice,technical documentation,drafting
drawing,phenomenon_process,Design Practice,technical documentation,drawing
dry board,phenomenon_object,Design Practice,building materials,dry board
dwelling requirement,concept,Design Practice,design practice,dwelling requirement
early design stage,concept,Design Practice,design process,early design stage
earth-brick shell,phenomenon_object,Design Practice,building materials,earth-brick shell
economic analysis,analytical_technique,Design Practice,design analysis,economic analysis
educational building construction,phenomenon_process,Design Practice,building construction,educational building construction
electrochemical impedance spectroscopy,analytical_technique,Design Practice,engineering analysis,electrochemical impedance spectroscopy
electrochromic glass,phenomenon_object,Design Practice,building materials,electrochromic glass
enclosure,concept,Design Practice,architectural elements,enclosure
energy analysis,analytical_technique,Design Practice,engineering analysis,energy analysis
energy efficient office building,analytical_technique,Design Practice,energy efficiency,energy efficient office building
energy flexibility of building,analytical_technique,Design Practice,energy efficiency,energy flexibility of building
energy refurbishment,phenomenon_process,Design Practice,design practice,energy refurbishment
energy renovation,phenomenon_process,Design Practice,renovation and retrofit,energy renovation
energy retrofitting,phenomenon_process,Design Practice,design practice,energy retrofitting
environmental design,phenomenon_process,Design Practice,sustainability and energy,environmental design
evaluative design process,phenomenon_process,Design Practice,design process,evaluative design process
evidence-based design,phenomenon_process,Design Practice,design methods,evidence-based design
fabric formwork,phenomenon_object,Design Practice,building materials,fabric formwork
façade,concept,Design Practice,architectural elements,façade
facilities planning,phenomenon_process,Design Practice,design process,facilities planning
factor-cost ratio,analytical_technique,Design Practice,cost indicators,factor-cost ratio
feasibility study,phenomenon_process,Design Practice,design stages,feasibility study
feng shui model,concept,Design Practice,design theory,feng shui model
Fernand Pouillon,phenomenon_individual,Design Practice,architectural and construction history,Fernand Pouillon
financial analysis,phenomenon_process,Design Practice,design econony,financial analysis
finishes,phenomenon_object,Design Practice,building materials,finishes
finite element analysis,analytical_technique,Design Practice,engineering analysis,finite element analysis
finite element method,analytical_technique,Design Practice,engineering analysis,finite element method
finite volume method,analytical_technique,Design Practice,engineering analysis,finite volume method
fire protective coating,phenomenon_object,Design Practice,building materials,fire protective coating
fitout,phenomenon_process,Design Practice,specialized design,fitout
flat roof,phenomenon_object,Design Practice,architectural elements,flat roof
flexibility of living,concept,Design Practice,design practice,flexibility of living
flexible building,concept,Design Practice,building design,flexible building
flexible component,concept,Design Practice,design component,flexible component
floorplan,concept,Design Practice,design layouts,floorplan
functional layout distribution,phenomenon_process,Design Practice,design process,functional layout distribution
functionality,concept,Design Practice,design features,functionality
furniture design,phenomenon_process,Design Practice,design process,furniture design
future adaptivity of building,concept,Design Practice,building performance,future adaptivity of building
Gehry,phenomenon_individual,Design Practice,architectural and construction history,Gehry
generative design,phenomenon_process,Design Practice,design process,generative design
geometric shape,concept,Design Practice,design features,geometric shape
geometrical parameter,concept,Design Practice,design practice,geometrical parameter
glare,concept,Design Practice,building performance,glare
glazing,phenomenon_object,Design Practice,architectural elements,glazing
green architecture,concept,Design Practice,sustainability and energy,green architecture
green building,concept,Design Practice,design practice,green building
green office,concept,Design Practice,design practice,green office
green retrofit,concept,Design Practice,energy efficiency,green retrofit
gross floor area,concept,Design Practice,building performance,gross floor area
habitability,concept,Design Practice,building performance,habitability
healthcare building construction,phenomenon_process,Design Practice,building construction,healthcare building construction
healthy design,concept,Design Practice,design practice,healthy design
heritage building conservation,phenomenon_process,Design Practice,heritage and conservation,heritage building conservation
heritage management,phenomenon_process,Design Practice,heritage and conservation,heritage management
high-rise construction,phenomenon_process,Design Practice,building construction,high-rise construction
heritage building conservation,phenomenon_process,Design Practice,heritage and conservation,historic building renovation
historic environment,concept,Design Practice,heritage and conservation,historic environment
historic site,phenomenon_object,Design Practice,heritage and conservation,historic site
horizontal shading,phenomenon_object,Design Practice,architectural elements,horizontal shading
healthcare building construction,phenomenon_process,Design Practice,building construction,hospital construction
house design,phenomenon_process,Design Practice,design process,house design
housing design,phenomenon_process,Design Practice,design process,housing design
housing design quality,phenomenon_process,Design Practice,professional practice,housing design quality
housing design unit,phenomenon_process,Design Practice,design process,housing design unit
housing refurbishment,phenomenon_process,Design Practice,renovation and retrofit,housing refurbishment
housing research,phenomenon_process,Design Practice,urban design,housing research
housing structural attribute,concept,Design Practice,design attributes,housing structural attribute
hybrid-fence,concept,Design Practice,design elements,hybrid-fence
illuminance,concept,Design Practice,building performance,illuminance
inclusive design,concept,Design Practice,design methods,inclusive design
indoor building inspection,phenomenon_process,Design Practice,professional practice,indoor building inspection
indoor navigation,phenomenon_process,Design Practice,design practice,indoor navigation
infrared analysis,analytical_technique,Design Practice,engineering analysis,infrared analysis
insulation,phenomenon_object,Design Practice,building materials,insulation
integrated design process,phenomenon_process,Design Practice,design process,integrated design process
integrated system,concept,Design Practice,design methods,integrated system
intelligent building,concept,Design Practice,design practice,intelligent building
interactive architecture,concept,Design Practice,design practice,interactive architecture
interior arrangement,phenomenon_process,Design Practice,specialized design,interior arrangement
interior design,phenomenon_process,Design Practice,specialized design,interior design
interior window blind,phenomenon_object,Design Practice,architectural elements,interior window blind
internal space,phenomenon_process,Design Practice,specialized design,internal space
intuitive design,concept,Design Practice,design methods,intuitive design
Iranian architecture,phenomenon_process,Design Practice,design practice,Iranian architecture
landscape design,phenomenon_process,Design Practice,design practice,landscape design
level of detail,concept,Design Practice,technical documentation,level of detail
level of development,concept,Design Practice,design practice,level of development
lifespan-oriented design,phenomenon_process,Design Practice,sustainability and energy,lifespan-oriented design
light switch,phenomenon_object,Design Practice,architectural elements,light switch
lighting control,concept,Design Practice,energy efficiency,lighting control
linkography,phenomenon_process,Design Practice,design process,linkography
listed building,concept,Design Practice,heritage and conservation,listed building
living building,concept,Design Practice,design practice,living building
lobby,concept,Design Practice,architectural elements,lobby
longitudinal-spacing,concept,Design Practice,technical documentation,longitudinal-spacing
low-carbon building,concept,Design Practice,design practice,low-carbon building
low-energy building,concept,Design Practice,energy efficiency,low-energy building
low-energy design,phenomenon_process,Design Practice,sustainability and energy,low-energy design
low-rise construction,phenomenon_object,Design Practice,building construction,low-rise construction
massing,concept,Design Practice,architectural design,massing
mechanical-electrical-plumbing,concept,Design Practice,mechanical systems,mechanical-electrical-plumbing
mixed-use building construction,phenomenon_object,Design Practice,building construction,mixed-use building construction
modern vernacular,concept,Design Practice,architectural styles,modern vernacular
modification in design,phenomenon_process,Design Practice,design changes,modification in design
modular construction system,phenomenon_object,Design Practice,design methods,modular construction system
modular design,concept,Design Practice,design methods,modular design
modular object,phenomenon_object,Design Practice,architectural elements,modular object
modularity,concept,Design Practice,design flexibility,modularity
module,phenomenon_object,Design Practice,architectural elements,module
monument,phenomenon_object,Design Practice,architectural elements,monument
morphing,concept,Design Practice,design methods,morphing
mosque,phenomenon_object,Design Practice,architectural elements,mosque
natural light,concept,Design Practice,building performance,natural light
nature by design,concept,Design Practice,design practice,nature by design
nearly zero-energy building,concept,Design Practice,energy efficiency,nearly zero-energy building
net positive design,phenomenon_process,Design Practice,sustainability and energy,net positive design
occupancy profile,concept,Design Practice,building use,occupancy profile
occupant satisfaction,concept,Design Practice,user-centered design,occupant satisfaction
occupants' satisfaction,concept,Design Practice,user-centered design,occupants' satisfaction
office construction,phenomenon_process,Design Practice,building construction,office construction
office design,phenomenon_process,Design Practice,specialized design,office design
office layout,phenomenon_process,Design Practice,specialized design,office layout
office lighting,concept,Design Practice,building performance,office lighting
open building,concept,Design Practice,design flexibility,open building
open plan,concept,Design Practice,design concepts,open plan
operations research,theoretical_framing,Design Practice,design methods,operations research
organic architecture,phenomenon_process,Design Practice,architectural styles,organic architecture
parametric design,concept,Design Practice,design methods,parametric design
participatory design,concept,Design Practice,design methods,participatory design
partition wall,phenomenon_object,Design Practice,architectural elements,partition wall
passive design,phenomenon_process,Design Practice,sustainability and energy,passive design
passive house standard,analytical_technique,Design Practice,design practice,passive house standard
passive solar cooling,concept,Design Practice,energy efficiency,passive solar cooling
passive system,concept,Design Practice,energy efficiency,passive system
Passivhaus,concept,Design Practice,energy efficiency,Passivhaus
performance-driven design,phenomenon_process,Design Practice,design econony,performance-driven design
pitched roof,phenomenon_object,Design Practice,architectural elements,pitched roof
plumbing,concept,Design Practice,mechanical systems,plumbing
prefabricated component,phenomenon_object,Design Practice,design methods,prefabricated component
prefabricated façade,concept,Design Practice,architectural elements,prefabricated façade
prefabricated housing design,phenomenon_process,Design Practice,urban design,prefabricated housing design
preliminary design,concept,Design Practice,design practice,preliminary design
primary building component,concept,Design Practice,architectural elements,primary building component
process design,concept,Design Practice,design methods,process design
process modelling,analytical_technique,Design Practice,design analysis,process modelling
product architecture,concept,Design Practice,design methods,product architecture
product configuration,concept,Design Practice,design methods,product configuration
product form,concept,Design Practice,design methods,product form
public building construction,phenomenon_process,Design Practice,building construction,public building construction
real options analysis,phenomenon_process,Design Practice,design econony,real options analysis
redesign,concept,Design Practice,design methods,redesign
refurbishment work,phenomenon_process,Design Practice,renovation and retrofit,refurbishment work
regenerative design,phenomenon_process,Design Practice,sustainability and energy,regenerative design
requirements analysis,phenomenon_process,Design Practice,user-centered design,requirements analysis
retail construction,phenomenon_process,Design Practice,building construction,retail construction
rizing damp,phenomenon_process,Design Practice,building defect,rising damp
robust design,concept,Design Practice,design methods,robust design
roof,phenomenon_object,Design Practice,design practice,roof
roofing,phenomenon_process,Design Practice,design practice,roofing
rooftop design,phenomenon_process,Design Practice,architectural design,rooftop design
room temperature,analytical_technique,Design Practice,building performance,room temperature
educational building construction,phenomenon_process,Design Practice,building construction,school construction
shade,concept,Design Practice,design elements,shade
shading,concept,Design Practice,building design,shading
shell design,phenomenon_process,Design Practice,architectural design,shell design
simplified surface,concept,Design Practice,design methods,simplified surface
simulation analysis,analytical_technique,Design Practice,design analysis,simulation analysis
small works,phenomenon_process,Design Practice,building construction,small works project
smart building technology,concept,Design Practice,building innovation,smart building technology
smart home,concept,Design Practice,design practice,smart home
smart interior design,phenomenon_process,Design Practice,design practice,smart interior design
smart morphing,phenomenon_process,Design Practice,specialized design,smart morphing
smart window,concept,Design Practice,energy efficiency,smart window
soft landing,concept,Design Practice,design practice,soft landing
space allocation,concept,Design Practice,design practice,space allocation
space planning,phenomenon_process,Design Practice,design process,space planning
space syntax,concept,Design Practice,urban design,space syntax
space topology,concept,Design Practice,architectural design,space topology
spacematrix,phenomenon_process,Design Practice,design practice,spacematrix
spatial configuration,phenomenon_process,Design Practice,architectural design,spatial configuration
spatial planning,phenomenon_process,Design Practice,urban design,spatial planning
spatial quality assessment,phenomenon_process,Design Practice,professional practice,spatial quality assessment
spectral analysis,analytical_technique,Design Practice,engineering analysis,spectral analysis
speculative design,concept,Design Practice,design practice,speculative design
speculative housebuilding,phenomenon_process,Design Practice,economic development,speculative housebuilding
structural design,phenomenon_process,Design Practice,architectural engineering,structural design
structural frame,phenomenon_object,Design Practice,architectural elements,structural frame
student housing quality,concept,Design Practice,design practice,student housing quality
suitability,concept,Design Practice,design criteria,suitability
sustainable architecture,concept,Design Practice,design process,sustainable architecture
sustainable design,concept,Design Practice,design process,sustainable design
sustainable reconstruction,phenomenon_process,Design Practice,design practice,sustainable reconstruction
systems design,phenomenon_process,Design Practice,design methods,systems design
tall wood,phenomenon_object,Design Practice,building materials,tall wood
thatched roof,phenomenon_object,Design Practice,heritage and conservation,thatched roof
thermal retrofit,concept,Design Practice,energy efficiency,thermal retrofit
thinking building,concept,Design Practice,architectural design,thinking building
timber construction,concept,Design Practice,design practice,timber construction
timber structure,concept,Design Practice,sustainability and energy,timber structure
town planning,phenomenon_process,Design Practice,urban design,town planning
traditional and modern element,concept,Design Practice,architectural styles,traditional and modern element
traditional architecture,concept,Design Practice,heritage and conservation,traditional architecture
traditional construction,phenomenon_process,Design Practice,heritage and conservation,traditional construction
traditional courtyard house,concept,Design Practice,architectural styles,traditional courtyard house
transitional space,concept,Design Practice,design practice,transitional space
transversal-spacing,concept,Design Practice,design practice,transversal-spacing
educational building construction,phenomenon_process,Design Practice,building construction,university building construction
urban building energy model,analytical_technique,Design Practice,energy efficiency,urban building energy model
urban design,phenomenon_process,Design Practice,urban design,urban design
usability,concept,Design Practice,user-centered design,usability
user adaptation,phenomenon_process,Design Practice,design methods,user adaptation
user engagement,concept,Design Practice,design methods,user engagement
user experience,concept,Design Practice,user-centered design,user experience
user need,concept,Design Practice,user-centered design,user need
user perspective,concept,Design Practice,user focus,user perspective
user requirement,concept,Design Practice,user-centered design,user requirement
user-centered design,concept,Design Practice,user-centered design,user-centered design
user-centered evaluation,phenomenon_process,Design Practice,user focus,user-centered evaluation
user-involved design,concept,Design Practice,design methods,user-involved design
value co-creation,concept,Design Practice,value management,value co-creation
value network,concept,Design Practice,value management,value network
value-based experience,concept,Design Practice,value management,value-based experience
vernacular architecture,concept,Design Practice,heritage and conservation,vernacular architecture
viewing angle,concept,Design Practice,cognitive psychology,viewing angle
visual aspect,concept,Design Practice,design elements,visual aspect
visual threshold,concept,Design Practice,design practice,visual threshold
visualization,concept,Design Practice,design practice,visualization
wayfinding,concept,Design Practice,building performance,wayfinding
whole building approach,phenomenon_process,Design Practice,design practice,whole building approach
whole building life cycle,concept,Design Practice,sustainability and energy,whole building life cycle
whole systems design,phenomenon_process,Design Practice,design practice,whole systems design
window,phenomenon_object,Design Practice,architectural elements,window
window-to-wall ratio,analytical_technique,Design Practice,energy efficiency,window-to-wall ratio
workability,concept,Design Practice,design methods,workability
working drawing,phenomenon_object,Design Practice,technical documentation,working drawing
workplace design,concept,Design Practice,design practice,workplace design
zero carbon building,concept,Design Practice,sustainability and energy,zero carbon building
zero-energy building,concept,Design Practice,sustainability and energy,zero-energy building
3D model,phenomenon_process,Digital Applications,computational design,3D model
3D modelling,phenomenon_process,Digital Applications,computational design,3D modelling
3D printing,concept,Digital Applications,manufacturing,3D printing
3D visualization,concept,Digital Applications,visualization,3D visualization
4D modelling,phenomenon_process,Digital Applications,digital design,4D modelling
4D planning,concept,Digital Applications,visualization,4D planning
4D simulation,concept,Digital Applications,visualization,4D simulation
4D visualization,concept,Digital Applications,visualization,4D visualization
applications programs,concept,Digital Applications,software systems,applications programs
artificial intelligence,concept,Digital Applications,artificial intelligence,artificial intelligence
artificial intelligence tool,concept,Digital Applications,artificial intelligence,artificial intelligence tool
augmented panorama,concept,Digital Applications,visualization,augmented panorama
augmented reality,concept,Digital Applications,visualization,augmented reality
augmented reality application,phenomenon_process,Digital Applications,digital engineering,augmented reality application
authoring,phenomenon_process,Digital Applications,coding,authoring
auto-id,concept,Digital Applications,digital technology,auto-id
automated construction,phenomenon_process,Digital Applications,automation and robotics,automated construction
automated construction process,phenomenon_object,Digital Applications,automation and robotics,automated construction process
automated guided vehicle,phenomenon_object,Digital Applications,automation and robotics,automated guided vehicle
automated machinery,phenomenon_object,Digital Applications,automation and robotics,automated machinery
automated process,phenomenon_process,Digital Applications,automation and robotics,automated process
automated site equipment,phenomenon_object,Digital Applications,automation and robotics,automated site equipment
automation,concept,Digital Applications,automation and robotics,automation
autonomous equipment,phenomenon_object,Digital Applications,automation and robotics,autonomous equipment
autonomous machinery,phenomenon_object,Digital Applications,automation and robotics,autonomous machinery
autonomous vehicles in construction,phenomenon_object,Digital Applications,automation and robotics,autonomous vehicles in construction
avatar,concept,Digital Applications,visualization,avatar
back propagation,analytical_technique,Digital Applications,algorithms,back propagation
bayesian belief network,analytical_technique,Digital Applications,probabilistic model,bayesian belief network
bayesian learning,concept,Digital Applications,artificial intelligence,bayesian learning
bayesian network,analytical_technique,Digital Applications,probabilistic model,bayesian network
behaviour-driven development,theoretical_framing,Digital Applications,software development,behaviour-driven development
belief network,analytical_technique,Digital Applications,probabilistic model,belief network
big data,phenomenon_object,Digital Applications,information systems,big data
big data integration,phenomenon_process,Digital Applications,data science,big data integration
blockchain,concept,Digital Applications,computing systems,blockchain
bp neural network,concept,Digital Applications,artificial intelligence,bp neural network
building automation,concept,Digital Applications,automation and robotics,building automation
building information management,phenomenon_process,Digital Applications,information systems,building information management
building information modelling,phenomenon_process,Digital Applications,information systems,building information modelling
building performance simulation,phenomenon_process,Digital Applications,modelling and simulation,building performance simulation
building simulation,phenomenon_process,Digital Applications,modelling and simulation,building simulation
bus encoding,phenomenon_process,Digital Applications,data science,bus encoding
business information,concept,Digital Applications,innovation and technology management,business information
cloud computing,concept,Digital Applications,digital infrastructure,cloud computing
cloud-based collaboration tool,phenomenon_object,Digital Applications,information systems,cloud-based collaboration tool
cloud-based construction platform,phenomenon_process,Digital Applications,information systems,cloud-based construction platform
clustering,phenomenon_process,Digital Applications,data science,clustering
collaborative digital tool,phenomenon_process,Digital Applications,digital engineering,collaborative digital tool
collaborative modelling,phenomenon_process,Digital Applications,computational design,collaborative modelling
