iterm,facet,domain,New Subject,lword
economic flow,concept,Economics,economic process,economic flow
liberalization,concept,Economics,economic reforms,liberalization
economic recovery,concept,Economics,economic resilience,economic recovery
capital stock,concept,Economics,economic resources,capital stock
emerging market,concept,Economics,economic sector,emerging market
industrial policy,phenomenon_object,Economics,economic strategies,industrial policy
price determination,concept,Economics,economic strategies,price determination
value capture,concept,Economics,economic strategies,value capture
secondary equity market,concept,Economics,economic studies,secondary equity market
banking,concept,Economics,economic systems,banking
local economy,theoretical_framing,Economics,economic systems,local economy
market mechanisms,theoretical_framing,Economics,economic systems,market mechanisms
markets,concept,Economics,economic systems,markets
national economy,concept,Economics,economic systems,national economy
prospect theory,theoretical_framing,Economics,economic theory,prospect theory
rebound effect,concept,Economics,economic theory,rebound effect
business cycle analysis,concept,Economics,economic theory,business cycle analysis
decommodification,concept,Economics,economic theory,decommodification
public good,concept,Economics,economic theory,public good
regionalism,theoretical_framing,Economics,economic theory,regionalism
stabilization,concept,Economics,economic theory,stabilization
economic theory,concept,Economics,economic theory,economic theory
economic instruments,concept,Economics,economic tools,economic instruments
privatization,concept,Economics,economic transition,privatization
stock dynamics,concept,Economics,economic trends,stock dynamics
market valuation,concept,Economics,economic valuations,market valuation
high-value,concept,Economics,economic value,high-value
institutional economics,theoretical_framing,Economics,educational institutions,institutional economics
cap and trade,phenomenon_process,Economics,emission trading,cap and trade
unemployment,concept,Economics,employment studies,unemployment
trade performance,concept,Economics,evaluation of trade,trade performance
capital expenditure,concept,Economics,expenditure control,capital expenditure
affordability,concept,Economics,finance,affordability
affordable housing,concept,Economics,finance,affordable housing
interim payment,concept,Economics,financial agreements,interim payment
subsidy,concept,Economics,financial agreements,subsidy
compound interest,concept,Economics,financial agreements,compound interest
incentive payoff,concept,Economics,financial agreements,incentive payoff
investment incentive,concept,Economics,financial agreements,investment incentive
real estate investement trust,concept,Economics,financial agreements,real estate investement trust
financial incentive,concept,Economics,financial agreements,financial incentive
economic evaluation,analytical_technique,Economics,financial analysis,economic evaluation
social benefit-cost ratio,analytical_technique,Economics,financial analysis,social benefit-cost ratio
value analysis,analytical_technique,Economics,financial analysis,value analysis
socio-economic benefit,concept,Economics,financial analysis,socio-economic benefit
construction economics,theoretical_framing,Economics,financial analysis,construction economic
economic impact,concept,Economics,financial analysis,economic impact
endogeneity,concept,Economics,financial analysis,endogeneity
industrial economics,theoretical_framing,Economics,financial analysis,industrial economics
industry performance,concept,Economics,financial analysis,industry performance
petty commodity sector,concept,Economics,financial analysis,petty commodity sector
resource dependency theory,theoretical_framing,Economics,financial analysis,resource dependency theory
transaction cost,theoretical_framing,Economics,financial analysis,transaction cost
cost in use,concept,Economics,financial analysis,cost in use
value for money,concept,Economics,financial analysis,value for money
cost variance,concept,Economics,financial analysis,cost variance
discounted cash flow,concept,Economics,financial analysis,discounted cash flow
investment analysis,phenomenon_process,Economics,financial analysis,investment analysis
ratio analysis,analytical_technique,Economics,financial analysis,ratio analysis
cash flow analysis,concept,Economics,financial analysis,cash flow analysis
overheads,phenomenon_object,Economics,financial analysis,overheads
liquidation,concept,Economics,financial analysis,liquidation
stochastic life cycle cost analysis,analytical_technique,Economics,financial analysis,stochastic life cycle cost analysis
mesoeconomics,theoretical_framing,Economics,financial analysis,mesoeconomics
unit cost,concept,Economics,financial and cost management,unit cost
cash flow forecasting,phenomenon_process,Economics,financial and cost management,cash flow forecasting
strategic investment,concept,Economics,financial and cost management,strategic investment
occupancy cost,concept,Economics,financial costs,occupancy cost
operating cost,concept,Economics,financial costs,operating cost
investment decision,concept,Economics,financial decision-making,investment decision
tangible capital asset ontology,concept,Economics,financial framework,tangible capital asset ontology
crowdfunding,phenomenon_process,Economics,financial innovation,crowdfunding
commercial bank,phenomenon_object,Economics,financial institutions,commercial bank
Reserve Bank of India,phenomenon_object,Economics,financial institutions,Reserve Bank of India
private equity,concept,Economics,financial investments,private equity
rent default,concept,Economics,financial issues,rent default
cost planning,phenomenon_process,Economics,financial management,cost planning
public listed companies,phenomenon_object,Economics,financial management,public listed companies
shareholder's wealth,concept,Economics,financial management,shareholder's wealth
cash flow management,phenomenon_process,Economics,financial management,cash flow management
cash flow,concept,Economics,financial management,cash flow
corporate finance,concept,Economics,financial management,corporate finance
financial control,phenomenon_process,Economics,financial management,financial control
financial management,phenomenon_process,Economics,financial management,financial management
fund allocation,concept,Economics,financial management,fund allocation
international finance,concept,Economics,financial management,international finance
operational finance,concept,Economics,financial management,operational finance
portfolio management,phenomenon_process,Economics,financial management,portfolio management
project finance,concept,Economics,financial management,project finance
real estate development finance,concept,Economics,financial management,real estate development finance
bank funding,concept,Economics,financial management,bank funding
cash flow classification,concept,Economics,financial metrics,cash flow classification
cost index,concept,Economics,financial metrics,cost index
debt-equity ratio,concept,Economics,financial metrics,debt-equity ratio
discount factor,concept,Economics,financial metrics,discount factor
discount rates,concept,Economics,financial metrics,discount rates
expected return,concept,Economics,financial metrics,expected return
fair value,concept,Economics,financial metrics,fair value
income,concept,Economics,financial metrics,income
interest rate,concept,Economics,financial metrics,interest rate
life cycle profit,concept,Economics,financial metrics,life cycle profit
liquidity,concept,Economics,financial metrics,liquidity
monthly balance,concept,Economics,financial metrics,monthly balance
net asset,concept,Economics,financial metrics,net asset
net present value,concept,Economics,financial metrics,net present value
pricing,phenomenon_process,Economics,financial metrics,pricing
property return,concept,Economics,financial metrics,property return
return on assets,concept,Economics,financial metrics,return on assets
return on investment,concept,Economics,financial metrics,return on investment
revenue,concept,Economics,financial metrics,revenue
risk premium,concept,Economics,financial metrics,risk premium
risk-free rate,concept,Economics,financial metrics,risk-free rate
real option,concept,Economics,financial modelling,real option
price forecasting model,concept,Economics,financial models,price forecasting model
profit,concept,Economics,financial performance,profit
profitability,concept,Economics,financial performance,profitability
profitability performance,concept,Economics,financial performance,profitability performance
mortgage,concept,Economics,financial products,mortgage
deposit protection,concept,Economics,financial protection,deposit protection
development fund,phenomenon_object,Economics,financial resources,development fund
funding,concept,Economics,financial resources,funding
trust fund,concept,Economics,financial resources,trust fund
payback,concept,Economics,financial return,payback
abandoned project,phenomenon_object,Economics,financial risk,abandoned project
abandonment,phenomenon_object,Economics,financial risk,abandonment
debt finance,concept,Economics,financial risk,debt finance
debt financing,concept,Economics,financial risk,debt financing
development finance,concept,Economics,financial risk,development finance
equity financing,concept,Economics,financial risk,equity financing
equity fund,concept,Economics,financial risk,equity fund
infrastructure debt fund,concept,Economics,financial risk,infrastructure debt fund
adverse selection,phenomenon_process,Economics,financial risk,adverse selection
bond financing,concept,Economics,financial risk,bond financing
demand risk,concept,Economics,financial risk,demand risk
finance risk,concept,Economics,financial risk,finance risk
moral hazard,concept,Economics,financial risk,moral hazard
financial distress,concept,Economics,financial risks,financial distress
savings,concept,Economics,financial savings,savings
demand guarantee,phenomenon_object,Economics,financial security,demand guarantee
financing,phenomenon_process,Economics,financial services,financing
insurance,concept,Economics,financial services,insurance
investment banking,concept,Economics,financial services,investment banking
capital investment,phenomenon_object,Economics,financial strategies,capital investment
investment strategy,concept,Economics,financial strategies,investment strategy
financial intermediation,concept,Economics,financial systems,financial intermediation
payment mechanism,concept,Economics,financial systems,payment mechanism
payment trust,concept,Economics,financial systems,payment trust
payment type,concept,Economics,financial transactions,payment type
institutional finance,phenomenon_process,Economics,financing institutions,institutional finance
innovative financing,phenomenon_process,Economics,financing strategies,innovative financing
capital structure,concept,Economics,financing structure,capital structure
fiscal policy,concept,Economics,governance and public policy,fiscal policy
historical cost data,concept,Economics,historical data,historical cost data
single-family house owner,concept,Economics,housing demographics,single-family house owner
homeownership,concept,Economics,housing market,homeownership
house price,concept,Economics,housing market,house price
housing affordability,concept,Economics,housing market,housing affordability
housing bubble,concept,Economics,housing market,housing bubble
private rented sector,concept,Economics,housing market,private rented sector
rental market,concept,Economics,housing market,rental market
house size,concept,Economics,housing market,house size
residential practice,concept,Economics,housing market,residential practice
residential livability,concept,Economics,housing market,residential livability
residential satisfaction,concept,Economics,housing market,residential satisfaction
residents' satisfaction index,concept,Economics,housing market,residents' satisfaction index
housing stock,concept,Economics,housing market,housing stock
construction industry performance,analytical_technique,Economics,industry analysis,construction industry performance
industrial organization,concept,Economics,industry analysis,industrial organization
aerospace industry,concept,Economics,industry analysis,aerospace industry
agricultural development,concept,Economics,industry analysis,agricultural development
aircraft industry,concept,Economics,industry analysis,aircraft industry
automobile industry,concept,Economics,industry analysis,automobile industry
automotive industry,concept,Economics,industry analysis,automotive industry
aviation,concept,Economics,industry analysis,aviation
construction industry,theoretical_framing,Economics,industry analysis,construction industry
construction sector,theoretical_framing,Economics,industry analysis,construction sector
indigenous construction firm,phenomenon_object,Economics,industry analysis,indigenous construction firm
informal sector,theoretical_framing,Economics,industry analysis,informal sector
large construction organization,phenomenon_object,Economics,industry analysis,large construction organization
precast concrete industry,concept,Economics,industry analysis,precast concrete industry
private sector,concept,Economics,industry analysis,private sector
tourism,concept,Economics,industry analysis,tourism
building industry,concept,Economics,industry sector,building industry
concrete industry,concept,Economics,industry sector,concrete industry
construction product,phenomenon_object,Economics,industry sector,construction product
consulting industry,phenomenon_object,Economics,industry sector,consulting industry
electricity industry,phenomenon_object,Economics,industry sector,electricity industry
energy industry,phenomenon_object,Economics,industry sector,energy industry
energy sector,phenomenon_object,Economics,industry sector,energy sector
gas industry,phenomenon_object,Economics,industry sector,gas industry
health services sector,concept,Economics,industry sector,health services sector
healthcare industry,concept,Economics,industry sector,healthcare industry
home improvement industry,phenomenon_object,Economics,industry sector,home improvement industry
hospitality,phenomenon_object,Economics,industry sector,hospitality
industry sector,analytical_technique,Economics,industry sector,industry sector
infrastructure sector,phenomenon_object,Economics,industry sector,infrastructure sector
manufacturing industry,phenomenon_object,Economics,industry sector,manufacturing industry
medium-sized firm,phenomenon_object,Economics,industry sector,medium-sized firm
nuclear industry,concept,Economics,industry sector,nuclear industry
oil and gas,phenomenon_object,Economics,industry sector,oil and gas
retrofit industry,phenomenon_object,Economics,industry sector,retrofit industry
shipbuilding,concept,Economics,industry sector,shipbuilding
transportation sector,phenomenon_object,Economics,industry sector,transportation sector
university sector,phenomenon_object,Economics,industry sector,university sector
water and sewage industry,concept,Economics,industry sector,water and sewage industry
construction spending,analytical_technique,Economics,industry sector,construction spending
housing information,concept,Economics,information systems,housing information
internationalization,phenomenon_process,Economics,international economics,internationalization
cross-border flow,phenomenon_process,Economics,international economics,cross-border flow
export,phenomenon_process,Economics,international economics,export
free trade,phenomenon_process,Economics,international economics,free trade
import,phenomenon_process,Economics,international economics,import
foreign direct investment,concept,Economics,international investment,foreign direct investment
foreign investment,concept,Economics,international investment,foreign investment
private finance,concept,Economics,investment strategies,private finance
private investment,concept,Economics,investment strategies,private investment
property investment,concept,Economics,investment strategies,property investment
real estate investment,concept,Economics,investment strategies,real estate investment
underinvestment,concept,Economics,investment strategies,underinvestment
investment appraisal,phenomenon_process,Economics,investment strategies,investment appraisal
non-equity foreign involvement,concept,Economics,investment strategies,non-equity foreign involvement
infrastructure investment,concept,Economics,investment strategies,infrastructure investment
institutional investment,concept,Economics,investment strategies,institutional investment
competitive strategy,concept,Economics,investment strategies,competitive strategy
cost manager,phenomenon_object,Economics,knowledge management and professional development,cost manager
women's salary,phenomenon_object,Economics,labour economics,women's salary
labour supply,concept,Economics,labour economics,labour supply
labour economic,theoretical_framing,Economics,labour economics,labour economics
land take,concept,Economics,land economics,land take
office rental,concept,Economics,land economics,office rental
lease,concept,Economics,land economics,lease
leasing,concept,Economics,land economics,leasing
relocation,concept,Economics,market analysis,relocation
competitive advantage,concept,Economics,market analysis,competitive advantage
construction demand,analytical_technique,Economics,market analysis,construction demand
demand analysis,analytical_technique,Economics,market analysis,demand analysis
market research,phenomenon_process,Economics,market analysis,market research
market segment,analytical_technique,Economics,market analysis,market segment
market barrier,concept,Economics,market analysis,market barrier
competition,concept,Economics,market analysis,competition
competitiveness,concept,Economics,market analysis,competitiveness
demand management,concept,Economics,market analysis,demand management
market acceptance,concept,Economics,market analysis,market acceptance
supply and demand,theoretical_framing,Economics,market analysis,supply and demand
entry mode,concept,Economics,market analysis,entry mode
penetration,concept,Economics,market analysis,penetration
entry timing,concept,Economics,market analysis,entry timing
market share,phenomenon_object,Economics,market analysis,market share
market dominance,concept,Economics,market analysis,market dominance
diversification,concept,Economics,market analysis,diversification
construction market,concept,Economics,market analysis,construction market
rental growth,concept,Economics,market analysis,rental growth
green marketing,concept,Economics,market analysis,green marketing
property marketing,concept,Economics,market analysis,property marketing
neoclassical economics,theoretical_framing,Economics,market analysis,neoclassical economics
green capitalism,theoretical_framing,Economics,market analysis,green capitalism
registration scheme,phenomenon_object,Economics,market analysis,registration scheme
collusion,phenomenon_object,Economics,medical science and clinical practice,collusion
collusive bidding,phenomenon_object,Economics,medical science and clinical practice,collusive bidding
shutdown,concept,Economics,occupational health and safety management,shutdown
bargaining,phenomenon_process,Economics,organizational economics,bargaining
Zeuthen strategy,theoretical_framing,Economics,organizational economics,Zeuthen strategy
theory of the firm,theoretical_framing,Economics,organizational economics,theory of the firm
organizational economics,theoretical_framing,Economics,organizational economics,organizational economics
ownership,concept,Economics,organizational economics,ownership
taxation,concept,Economics,policy economics,taxation
rent control,concept,Economics,policy economics,rent control
municipal finance,concept,Economics,policy economics,municipal finance
first-price auction,phenomenon_object,Economics,price determination,first-price auction
willingness to pay,concept,Economics,price determination,willingness to pay
tender price index,concept,Economics,price determination,tender price index
cost-plus,concept,Economics,price determination,cost-plus
fair pricing,concept,Economics,price determination,fair pricing
mark-up,concept,Economics,price determination,mark-up
transformation-flow-value theory,theoretical_framing,Economics,production economics,transformation-flow-value theory
total factor productivity,analytical_technique,Economics,production economics,total factor productivity
broker,phenomenon_object,Economics,professions and roles,broker
land acquisition,concept,Economics,real estate economics,land acquisition
mass appraisal,concept,Economics,real estate economics,mass appraisal
land cost,concept,Economics,real estate economics,land cost
land development,phenomenon_process,Economics,real estate economics,land development
housing management,phenomenon_process,Economics,real estate economics,housing management
land administration,phenomenon_process,Economics,real estate economics,land administration
real estate,concept,Economics,real estate economics,real estate
vacant building,concept,Economics,real estate economics,vacant building
property management,phenomenon_process,Economics,real estate economics,property management
property rights,concept,Economics,real estate economics,property rights
land registration,phenomenon_process,Economics,real estate economics,land registration
land title registration,phenomenon_process,Economics,real estate economics,land title registration
property relation,concept,Economics,real estate economics,property relation
restrictive covenant,concept,Economics,real estate economics,restrictive covenant
tenure,concept,Economics,real estate economics,tenure
property value,concept,Economics,real estate economics,property value
residential property value,concept,Economics,real estate economics,residential property value
revaluing,phenomenon_process,Economics,real estate economics,revaluing
valuation method,concept,Economics,real estate economics,valuation method
valuation standard,concept,Economics,real estate economics,valuation standard
municipal valuation,concept,Economics,real estate economics,municipal valuation
commercial property,concept,Economics,real estate economics,commercial property
private property,concept,Economics,real estate economics,private property
property cycle,concept,Economics,real estate economics,property cycle
commercial real estate,concept,Economics,real estate economics,commercial real estate
multi-owned development,concept,Economics,real estate economics,multi-owned development
property finance,concept,Economics,real estate economics,property finance
property development firm,phenomenon_object,Economics,real estate economics,property development firm
direct real estate,concept,Economics,real estate economics,direct real estate
indirect/securitized real estate,concept,Economics,real estate economics,indirect/securitized real estate
land,concept,Economics,real estate economics,land
land use,concept,Economics,real estate economics,land use
property company,phenomenon_object,Economics,real estate economics,property company
property market,concept,Economics,real estate economics,property market
real estate cycle,phenomenon_process,Economics,real estate economics,real estate cycle
vacancy,concept,Economics,real estate economics,vacancy
property trend,concept,Economics,real estate economics,property trend
public value theory,theoretical_framing,Economics,social economics,public value theory
social return on investment,concept,Economics,social impact assessment,social return on investment
development theory,theoretical_framing,Economics,socioeconomic concepts,development theory
developing country context,theoretical_framing,Economics,socioeconomic context,developing country context
developer experience,concept,Economics,stakeholders,developer experience
housing association,phenomenon_object,Economics,stakeholders,housing association
private house-builder,phenomenon_object,Economics,stakeholders,private house-builder
arbitrage,concept,Economics,transaction economics,arbitrage
information asymmetry,concept,Economics,transaction economics,information asymmetry
value-for-money,concept,Economics,value,value-for-money
academic performance,concept,Education,assessment methods,academic performance
academic satisfaction,concept,Education,assessment methods,academic satisfaction
formative assessment,concept,Education,assessment methods,formative assessment
grade point average,concept,Education,assessment methods,grade point average
training practice indicator,concept,Education,assessment methods,training practice indicator
training evaluation,concept,Education,assessment methods,training evaluation
training effectivenes,analytical_technique,Education,assessment methods,training effectivenes
interdisciplinary subject,concept,Education,curriculum development,interdisciplinary subject
training model,concept,Education,curriculum development,training model
educational objective,concept,Education,curriculum development,educational objective
curriculum development,concept,Education,curriculum development,curriculum development
education policy,concept,Education,curriculum development,education policy
tertiary,concept,Education,curriculum development,tertiary
training in construction,concept,Education,curriculum development,training in construction
undergraduate,concept,Education,curriculum development,undergraduate
educational project,concept,Education,curriculum development,educational project
index of learning style,empirical_technique,Education,data collection methods,index of learning style
teaching innovation,concept,Education,educational innovation,teaching innovation
teaching/learning strategy,concept,Education,educational innovation,teaching/learning strategy
sustainability education,concept,Education,educational innovation,sustainability education
sustainability literacy,concept,Education,educational innovation  ,sustainability literacy
polytechnic,concept,Education,educational institutions,polytechnic
private university,concept,Education,educational institutions,private university
public school,concept,Education,educational institutions,public school
public university,concept,Education,educational institutions,public university
secondary school,concept,Education,educational institutions,secondary school
education institution,phenomenon_object,Education,educational institutions,education institution
engineering school,phenomenon_object,Education,educational institutions,engineering school
higher education institution,phenomenon_object,Education,educational institutions,higher education institution
academia,concept,Education,educational institutions,academia
academic unit,concept,Education,educational institutions,academic unit
higher education,concept,Education,educational institutions,higher education
legal education,concept,Education,educational institutions,legal education
university entry score,concept,Education,educational management,university entry score
school district,concept,Education,educational management,school district
teaching quality,concept,Education,educational management,teaching quality
academic decision-making,phenomenon_process,Education,educational management,academic decision-making
qualification,phenomenon_object,Education,educational resources,qualification
training need,concept,Education,educational resources,training need
school furniture,phenomenon_object,Education,educational resources,school furniture
academic achievement,concept,Education,educational resources,academic achievement
academic degree,concept,Education,educational resources,academic degree
e-learning,concept,Education,educational technology,e-learning
information literacy,concept,Education,educational technology,information literacy
computer-aided learning,concept,Education,educational technology,computer-aided learning
instructional technology,concept,Education,educational technology,instructional technology
training scenario,concept,Education,educational technology,training scenario
educational games,concept,Education,educational technology,educational games
assessment for learning,phenomenon_process,Education,health monitoring assessment and metrics,assessment for learning
graduate education,concept,Education,higher education,graduate education
graduate study,concept,Education,higher education,graduate study
university industry collaboration,concept,Education,higher education,university industry collaboration
postgraduate,phenomenon_object,Education,higher education,postgraduate
employability,concept,Education,human resources and leadership,employability
collaborative learning context,concept,Education,learning environments,collaborative learning context
school environment,concept,Education,learning environments,school environment
academic ambience,concept,Education,learning environments,academic ambience
interprofessional learning,concept,Education,learning methods,interprofessional learning
student collaboration,concept,Education,learning methods,student collaboration
service learning,concept,Education,learning methods,service learning
active learning,concept,Education,learning methods,active learning
collaborative learning,concept,Education,learning methods,collaborative learning
cooperative learning,concept,Education,learning methods,cooperative learning
experiential learning,concept,Education,learning methods,experiential learning
informal learning,concept,Education,learning methods,informal learning
learning experience,concept,Education,learning methods,learning experience
learning style,concept,Education,learning methods,learning style
live approach,phenomenon_process,Education,learning methods,live approach
training practice,concept,Education,learning methods,training practice
project-based learning,concept,Education,learning methods,project-based learning
work-based learning,concept,Education,learning methods,work-based learning
authentic learning,concept,Education,learning methods,authentic learning
student behaviour,concept,Education,learning theory,student behaviour
transformational learning,concept,Education,learning theory,transformational learning
learner attribute,concept,Education,learning theory,learner attribute
educational psychology,theoretical_framing,Education,learning theory,educational psychology
legitimate peripheral participation,theoretical_framing,Education,learning theory,legitimate peripheral participation
lifelong learning,concept,Education,professional development,lifelong learning
workplace learning,concept,Education,professional development,workplace learning
continuing education,concept,Education,professional development,continuing education
continuing professional development,concept,Education,professional development,continuing professional development
education and professional development,concept,Education,professional development,education and professional development
vocational training,phenomenon_process,Education,professional development,vocational training
workforce development,phenomenon_process,Education,professional development,workforce development
apprenticeship,phenomenon_process,Education,professional education,apprenticeship
construction education,concept,Education,professional education,construction education
construction graduate program,concept,Education,professional education,construction graduate program
construction management education,concept,Education,professional education,construction management education
design education,concept,Education,professional education,design education
education and training,concept,Education,professional education,education and training
engineering education,concept,Education,professional education,engineering education
vocational education,phenomenon_process,Education,professional education,vocational education
student satisfaction,concept,Education,professions and roles,student satisfaction
enrolment,phenomenon_object,Education,recruitment and enrollment,enrolment
entrance examination,phenomenon_object,Education,recruitment and enrollment,entrance examination
student recruitment,phenomenon_process,Education,recruitment and enrollment,student recruitment
high school student recruitment,phenomenon_process,Education,recruitment and enrollment,high school student recruitment
thesis,phenomenon_process,Education,research dissemination and communication,thesis
vocation,concept,Education,specialized education,vocation
science,concept,Education,specialized education,science
critical thinking,concept,Education,specialized education,critical thinking
student practice,phenomenon_process,Education,student development,student practice
knowledge acquisition,phenomenon_process,Education,student development,knowledge acquisition
learning outcome,concept,Education,student development,learning outcome
student performance,concept,Education,student development,student performance
vocational education and training,phenomenon_process,Education,student development,vocational education and training
student engagement,concept,Education,student development,student engagement
student experience,concept,Education,student development,student experience
student-centred,concept,Education,student experience,student-centred
staff-student partnership,concept,Education,student experience,staff-student partnership
distance learning,concept,Education,teaching methods,distance learning
engineering education method,concept,Education,teaching methods,engineering education method
instructional model,concept,Education,teaching methods,instructional model
teaching method,phenomenon_process,Education,teaching methods,teaching method
education practice,concept,Education,teaching methods,education practice
mode of instruction,concept,Education,teaching methods,mode of instruction
online instruction,concept,Education,teaching methods,online instruction
pedagogy,concept,Education,teaching methods,pedagogy
problem-based learning,concept,Education,teaching methods,problem-based learning
student-centered pedagogy,concept,Education,teaching methods,student-centered pedagogy
noise control,phenomenon_process,Engineering,acounstic engineering,noise control
noise reduction,phenomenon_process,Engineering,acounstic engineering,noise reduction
low-frequency noise,concept,Engineering,acounstic engineering,low-frequency noise
noise generation,phenomenon_process,Engineering,acounstic engineering,noise generation
sonication,concept,Engineering,acoustic properties,sonication
technology acceptance model,concept,Engineering,acoustic properties,technology acceptance model
agricultural production,concept,Engineering,agricultural engineering,agricultural production
ventilation,concept,Engineering,air quality,ventilation
simulation-based optimization,phenomenon_process,Engineering,algorithms,simulation-based optimization
systems analysis,analytical_technique,Engineering,analytical methods,systems analysis
constraint modelling,concept,Engineering,analytical methods,constraint modelling
finite element modelling,phenomenon_process,Engineering,analytical methods,finite element modelling
model development,phenomenon_process,Engineering,analytical methods,model development
model progression,concept,Engineering,analytical methods,model progression
modelling,phenomenon_process,Engineering,analytical methods,modelling
simulation modelling,phenomenon_process,Engineering,analytical methods,simulation modelling
simulation tool,concept,Engineering,analytical methods,simulation tool
model accuracy,concept,Engineering,analytical methods,model accuracy
fault diagnosis,concept,Engineering,analytical methods,fault diagnosis
reliability evaluation,phenomenon_process,Engineering,analytical methods,reliability evaluation
structural modelling,phenomenon_process,Engineering,analytical methods,structural modelling
structural dimension,concept,Engineering,analytical methods,structural dimension
unbalance,concept,Engineering,analytical methods,unbalance
test parameter,concept,Engineering,analytical methods,test parameter
temperature sensor,phenomenon_object,Engineering,analytical methods,temperature sensor
laser scanning,phenomenon_process,Engineering,analytical methods,laser scanning
measuring instrument,phenomenon_object,Engineering,analytical methods,measuring instrument
instrumentation,phenomenon_process,Engineering,analytical methods,instrumentation
scanning electron microscope,phenomenon_object,Engineering,analytical methods,scanning electron microscope
scanning electron microscopy,phenomenon_process,Engineering,analytical methods,scanning electron microscopy
thermal imaging,phenomenon_process,Engineering,analytical methods,thermal imaging
thermocouple,phenomenon_object,Engineering,analytical methods,thermocouple
temperature measurement,concept,Engineering,analytical methods,temperature measurement
spacer,phenomenon_object,Engineering,architectural elements,spacer
brickwork,concept,Engineering,architectural elements,brickwork
machine learning application,phenomenon_process,Engineering,artificial intelligence,machine learning application
building automation,concept,Engineering,automation and robotics,building automation
automated construction,phenomenon_process,Engineering,automation and robotics,automated construction
automated site equipment,phenomenon_object,Engineering,automation and robotics,automated site equipment
autonomous vehicles in construction,phenomenon_object,Engineering,automation and robotics,autonomous vehicles in construction
robotic process automation,phenomenon_process,Engineering,automation and robotics,robotic process automation
self-operating machinery,phenomenon_object,Engineering,automation and robotics,self-operating machinery
smart construction equipment,phenomenon_object,Engineering,automation and robotics,smart construction equipment
autonomous machinery,phenomenon_object,Engineering,automation and robotics,autonomous machinery
robotic concrete laying,phenomenon_object,Engineering,automation and robotics,robotic concrete laying
automated guided vehicle,phenomenon_object,Engineering,automation and robotics,automated guided vehicle
technology innovation,concept,Engineering,automation and robotics,technology innovation
automated machinery,phenomenon_object,Engineering,automation and robotics,automated machinery
autonomous equipment,phenomenon_object,Engineering,automation and robotics,autonomous equipment
robotic construction,phenomenon_object,Engineering,automation and robotics,robotic construction
robotics,concept,Engineering,automation and robotics,robotics
unmanned aerial vehicle,phenomenon_object,Engineering,automation and robotics,unmanned aerial vehicle
automated construction process,phenomenon_object,Engineering,automation and robotics,automated construction process
robotic bricklaying,phenomenon_object,Engineering,automation and robotics,robotic bricklaying
intelligent manufacturing system,concept,Engineering,automation and robotics,intelligent manufacturing system
drone,phenomenon_object,Engineering,automation and robotics,drone
advanced construction robotics,phenomenon_object,Engineering,building construction,construction robotics
masonry structure,phenomenon_object,Engineering,building construction,masonry structure
construction system,phenomenon_process,Engineering,building construction,construction system
linear construction,phenomenon_process,Engineering,building construction,linear construction
industrial construction,phenomenon_process,Engineering,building construction,industrial construction
built infrastructure,phenomenon_object,Engineering,building construction,built infrastructure
public construction,phenomenon_process,Engineering,building construction,public construction
rebuilding,phenomenon_process,Engineering,building construction,rebuilding
reconstruction,phenomenon_process,Engineering,building construction,reconstruction
rural structure,phenomenon_object,Engineering,building construction,rural structure
construction innovation,phenomenon_process,Engineering,building construction,construction innovation
system building,concept,Engineering,building construction,system building
total building performance evaluation,concept,Engineering,building construction,total building performance evaluation
closed panel timber frame,phenomenon_process,Engineering,building construction,closed panel timber frame
concrete constructiole dwelling,phenomenon_process,Engineering,building construction,concrete constructiole dwelling
concrete construction,phenomenon_process,Engineering,building construction,concrete construction
concrete manufacture,phenomenon_process,Engineering,building construction,concrete manufacture
concreting,phenomenon_process,Engineering,building construction,concreting
in-situ,concept,Engineering,building construction,in-situ
spraying,phenomenon_process,Engineering,building construction,spraying
earth moving,phenomenon_process,Engineering,building construction,earth moving
aerial construction,concept,Engineering,building construction,aerial construction
slab construction,concept,Engineering,building construction,slab construction
renewable energy facility construction,phenomenon_process,Engineering,building construction,solar plant construction
telecommunications infrastructure construction,phenomenon_process,Engineering,building construction,telecom infrastructure construction
advanced prefabrication,phenomenon_object,Engineering,building construction,advanced prefabrication
robotic construction technique,phenomenon_process,Engineering,building construction,robotic construction technique
self-healing concrete,phenomenon_object,Engineering,building construction,self-healing concrete
concrete block,phenomenon_object,Engineering,building materials,concrete block
concrete technology,concept,Engineering,building materials,concrete technology
construction material,phenomenon_object,Engineering,building materials,construction material
high-performance material,phenomenon_object,Engineering,building materials,high-performance material
bitumen,phenomenon_object,Engineering,building materials,bitumen
carbon fibre,phenomenon_object,Engineering,building materials,carbon fibre
carbon fibre reinforced concrete,phenomenon_object,Engineering,building materials,carbon fibre reinforced concrete
carbon fibre reinforced plastics,phenomenon_object,Engineering,building materials,carbon fibre reinforced plastics
cement combination,concept,Engineering,building materials,cement combination
cement concrete block,phenomenon_object,Engineering,building materials,cement concrete block
cement replacement,concept,Engineering,building materials,cement replacement
cold-formed steel,phenomenon_object,Engineering,building materials,cold-formed steel
concrete aggregate,phenomenon_object,Engineering,building materials,concrete aggregate
sand,phenomenon_object,Engineering,building materials,sand
self-consolidating concrete,phenomenon_object,Engineering,building materials,self-consolidating concrete
low-impact material,phenomenon_object,Engineering,building materials,low-impact material
renewable material,phenomenon_object,Engineering,building materials,renewable material
